affix_id,stat_affected,mod_type,affix_pools,base_value,description,trigger_event,proc_rate,trigger_result,trigger_duration,stacks_max,dual_stat,scaling_power,complex_effect
flat_dmg,base_damage,flat,weapon_pool|axe_pool,50,+{value} Base Damage,,,,,,,,
crit_dmg,crit_damage,flat,weapon_pool|jewelry_pool,0.5,+{value}% Crit Damage,,,,,,,,
bleed_chance,base_damage,flat,axe_pool|sword_pool,0,+{value}% chance to Bleed,OnHit,0.25,bleed,10,5,,,
flat_armor,armor,flat,armor_pool,150,+{value} Armor,,,,,,,,
attack_speed,attack_speed,multiplier,weapon_pool,0.2,+{value}% Attack Speed,,,,,,,,
health,max_health,flat,armor_pool|jewelry_pool,100,+{value} Health,,,,,,,,
crit_chance,crit_chance,flat,jewelry_pool,0.1,{value}% Critical Strike Chance,,,,,,,,
pierce_bonus,pierce_ratio,flat,weapon_pool,0.08,{value}% Pierce Ratio,,,,,,,,
resistance,resistances,flat,armor_pool,0.15,{value}% Elemental Resistances,,,,,,,,
focused_rage,,,jewelry_pool,,,OnSkillUsed,1,apply_crit_bonus:0.25,5,3,,TRUE,true|special_skill
thornmail,,,armor_pool,,,OnBlock,0.5,reflect_damage:0.3,,,,TRUE,
swiftslayer,attack_speed;cooldown_reduction,multiplier;flat,weapon_pool,0.25;0.08,{value}% Attack Speed & {dual_value}% CD Reduction,,,,,,TRUE,,
vorpal_edge,base_damage,flat,weapon_pool|sword_pool,28,+{value} Base Damage,, , , , , , ,
siphon_strikes,max_health;life_steal,multiplier;scaling,jewelry_pool,0.06;0.08,{value}% Max Health & {dual_value}% Life Steal on Hit,OnHit,0.25,life_steal:0.08,5,5,TRUE,1.05,
hollow_point,pierce_ratio,flat,weapon_pool,0.12,{value}% Pierce Ratio,, , , , , , ,
adamant_ward,armor,flat,armor_pool,240,+{value} Armor,, , , , , , ,
tempest_swiftness,attack_speed,multiplier,weapon_pool,0.18,+{value}% Attack Speed,, , , , , , ,
mimic_shield,block_chance,flat,shield_pool,0.12,+{value}% Block Chance,OnBlock,1,grant_buff:reflective_shield,3,1, , ,
venomous_edge,base_damage,flat,weapon_pool|dagger_pool,12,+{value} Base Damage,OnHit,0.2,apply_debuff:Poison,6,5, , ,
resolute_stone,resistances,multiplier,armor_pool,0.2,{value}% Elemental Resistances,, , , , , , ,
pulsing_core,crit_chance,multiplier,jewelry_pool,0.045,+{value}% Critical Strike Chance,OnHit,0.15,apply_debuff:Pulse,4,3, , ,
devastating_strikes,crit_chance;crit_damage,flat;flat,jewelry_pool,0.075;0.35,{value}% Crit Chance & {dual_value}% Crit Damage,, , , ,,TRUE,,
precision_power,pierce_ratio;max_resource,multiplier;flat,weapon_pool,0.12;30,{value}% Pierce & {dual_value} Max Resource,, , , ,,TRUE,,
berserker_rage,base_damage;crit_chance,scaling;scaling,jewelry_pool,0.5;0.3,{value}% Damage & Crit (scales with power),OnSkillUsed,1,apply_buff:berserk,5,1,TRUE,1.12,
frozen_core,glancing_chance,flat,armor_pool,0.1,+{value}% chance to downgrade hits to Glancing Blow,OnHit,0.2,apply_debuff:Slow,3,1, , ,
retribution,reflect_damage,multiplier,shield_pool,0.15,Reflects {value}% of blocked damage back to attacker,OnBlock,1,reflect_damage:0.15,0,1, , ,
echoing_blow,hit_repeat,flat,weapon_pool,0.18,Chance to repeat 1 extra hit at {value}% damage,OnHit,0.08,repeat_hit:0.18,0,1, , ,
lifebind,life_steal,multiplier,jewelry_pool,0.06,+{value}% Life Steal on Hit,OnHit,0.25,heal_source:life_steal,0,5, , ,
toxin_edge,base_damage,flat,weapon_pool|dagger_pool,8,+{value} Damage vs poisoned targets,OnHit,1,bonus_vs:poisoned,0,1,,,
venom_mastery,damage_over_time,multiplier,jewelry_pool,0.2,+{value}% DoT damage,, , , , , , ,
frostbite_power,damage_multiplier,multiplier,weapon_pool|spear_pool,0.15,{value}% more damage to slowed/frostbitten targets,OnHit,1,bonus_vs:frostbitten,0,1,,,
burning_fury,attack_speed,multiplier,weapon_pool,0.12,+{value}% attack speed while target is burning,OnHit,1,check_effect:burn,0,1,,,
echo_chance,hit_repeat,flat,weapon_pool,0.15,+{value}% chance to echo attacks,OnHit,0.15,repeat_hit:0.50,0,1,,,
charged_strikes,crit_chance,multiplier,weapon_pool|staff_pool,0.1,+{value}% crit chance vs shocked targets,OnHit,1,bonus_vs:shocked,0,1,,,
corrosive_weapons,pierce_ratio,multiplier,weapon_pool,0.18,{value}% armor penetration vs corroded enemies,OnHit,1,bonus_vs:corroded,0,1,,,
stone_skin,armor,flat,armor_pool,35,+{value} Armor,, , , , , , ,
glacial_aegis,damage_reduction,multiplier,armor_pool,0.1,{value}% reduced damage while slowed target attackers,OnHit,1,check_effect:frostbite,0,1,,,
reforged_plate,block_chance,flat,armor_pool,0.08,+{value}% block chance,, , , , , , ,
shock_resonance,resistance,multiplier,armor_pool,0.15,{value}% lightning resistance,, , , , , , ,
soul_barrier,max_health,flat,armor_pool,40,+{value} Max Health,, , , , , , ,
wind_steps,movement_speed,multiplier,jewelry_pool,0.15,+{value}% movement speed,, , , , , , ,
focus_mind,crit_chance,multiplier,jewelry_pool,0.12,+{value}% crit chance while Focus is active,OnSelf,1,check_effect:focus,0,1,,,
berserker_heart,damage_multiplier,multiplier,jewelry_pool,0.2,{value}% damage while Rage is active,OnSelf,1,check_effect:rage,0,1,,,
echo_brightness,damage_multiplier,multiplier,jewelry_pool,0.3,{value}% damage to Echo Marked targets,OnHit,1,bonus_vs:echo_marked,0,1,,,
acidic_rebound,reflect_damage,multiplier,shield_pool,0.12,Reflect {value}% of acid/corrosion damage taken,, , , , , , ,
